provnum,Year,BEDCERT,RESTOT,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating,AIDHRD,VOCHRD,RNHRD,TOTLICHRD,TOTHRD,PTHRD,exp_aide,exp_lpn,exp_rn,exp_total,adj_aide,adj_lpn,adj_rn,adj_total,WEIGHTED_ALL_CYCLES_SCORE,incident_cnt,cmplnt_cnt,DeficiencyCount,short_stay_poor_quality,short_stay_good_quality,long_stay_poor_quality,long_stay_good_quality,measure_score_qtravg,OWNERSHIP_For profit,OWNERSHIP_Government,OWNERSHIP_Non profit,CERTIFICATION_Medicaid,CERTIFICATION_Medicare,CERTIFICATION_Medicare and Medicaid,Score_High,ZIPREGION_0,ZIPREGION_1,ZIPREGION_2,ZIPREGION_3,ZIPREGION_4,ZIPREGION_5,ZIPREGION_6,ZIPREGION_7,ZIPREGION_8,ZIPREGION_9
45304,2020,105,85.1,5,5,5,3,3,2.43444,0.91682,0.42242,1.33924,3.77368,0.02473,1.99047,0.64775,0.28773,2.92596,2.5249,1.04395,0.56695,4.11188,22.667,1,0,8,3,1,3,11,32.06945267,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45304,2021,105,73,5,5,3,3,3,2.02277,0.9099,0.38459,1.29449,3.31725,0.04076,2.12684,0.65319,0.28159,3.06162,1.95583,1.03262,0.52115,3.4448,30,0,2,11,3,1,5,9,34.75308567,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45305,2020,116,98.1,3,3,3,2,1,2.28976,0.98807,0.21224,1.20031,3.49007,0.04254,1.93489,0.62807,0.27187,2.83484,2.44306,1.16035,0.30147,3.92509,68,0,2,24,3,1,3,11,33.7752595,0,0,1,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45305,2021,116,84.8,4,4,4,2,2,1.99867,0.85013,0.28652,1.13665,3.13532,0.03604,1.9596,0.64395,0.3088,2.91235,2.09747,0.97862,0.35405,3.42274,45.333,0,3,19,3,1,4,10,32.10710339,0,0,1,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45313,2020,104,62.5,1,1,2,3,3,2.40419,0.77754,0.51036,1.2879,3.69209,0.00513,2.0908,0.69214,0.33,3.11295,2.37386,0.82858,0.59724,3.78132,152.333,1,9,47,3,1,6,8,32.89097022,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45313,2021,104,55.2,3,2,4,4,4,2.22321,0.79325,0.6147,1.40795,3.63116,0.00611,2.00832,0.68265,0.28343,2.9744,2.2765,0.86139,0.82757,3.88133,103.333,1,7,47,3,1,5,9,32.13877122,1,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0
45315,2020,75,66.9,4,4,4,3,2,2.58931,1.0519,0.28503,1.33693,3.92625,0.03477,2.00231,0.60703,0.27155,2.8809,2.66964,1.27812,0.40535,4.34504,30.667,0,1,9,3,1,3,11,29.04882389,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45315,2021,75,59,4,4,4,3,3,2.21857,0.91753,0.37969,1.29722,3.51579,0.04179,2.08231,0.62246,0.26902,2.97379,2.19102,1.09268,0.53857,3.75879,38,0,2,13,3,1,3,11,27.28606222,1,0,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45317,2020,140,126.7,5,5,3,4,3,3.13317,1.27674,0.55968,1.83642,4.96959,0.03953,2.01913,0.6617,0.3473,3.02814,3.20346,1.42314,0.62233,5.23225,22,0,0,11,3,1,4,10,33.01762206,0,0,1,0,1,1,7,0,0,0,0,0,0,0,1,0,0
45317,2021,140,105.2,4,4,2,4,4,2.38701,1.20131,0.72381,1.92512,4.31213,0.05148,2.06577,0.65342,0.30255,3.02174,2.37624,1.36285,0.9129,4.53701,41.333,0,0,15,3,1,4,10,36.15392983,0,0,1,0,1,1,7,0,0,0,0,0,0,0,1,0,0
